64 65 68 69 70
48 49 50 51 53
99 98 97 94 93
89 86 84 81 79
56 53 52 49 46
79 82 84 87 88
32 31 28 25 22
15 18 20 21 24
99 96 94 92 89
97 95 93 90 88
90 88 85 82 79
56 53 51 48 47
75 77 78 79 80
17 18 21 24 26
35 32 30 27 25
34 33 32 30 27
40 43 45 48 51
56 58 59 61 64
76 74 72 70 67
63 60 57 55 54
74 75 76 78 79
7 10 11 14 16
62 60 57 54 53
69 68 65 64 63
70 68 66 63 62
62 59 58 55 53
71 69 66 63 60
22 24 25 26 28
1 3 5 6 7
66 63 61 59 56
61 63 64 66 68
20 17 16 14 11
27 30 33 35 38
50 47 44 43 42
70 67 65 62 59
3 4 5 6 9
91 90 88 86 84
8 10 11 13 14
84 87 90 92 94
1 3 4 6 9
68 66 64 62 61
67 65 62 61 60
83 84 86 88 90
92 95 96 97 99
70 68 66 65 62
7 10 11 13 14
36 34 33 32 29
41 44 47 50 51
31 34 36 37 38
93 92 90 89 86
64 63 61 59 56
30 31 33 36 38
35 38 39 40 42
88 91 92 94 97
24 26 27 30 31
61 63 66 69 71
75 72 71 69 66
75 72 71 69 68
58 59 61 63 66
52 50 49 47 46
